from	to	type	title	link
2016-08-22		press	‘We transformeren de traditionele krant van binnenuit’	https://www.svdj.nl/nieuws/we-transformeren-de-traditionele-krant-van-binnenuit/
2016-06-18		award	1. Preis DB Open Data Hackday	https://www.mindboxberlin.com/index.php/hackday.html
2016-05-02		press	Netzpolitik.org übernimmt ZDF-Lobbyradar	http://www.turi2.de/aktuell/netzpolitik-org-uebernimmt-zdf-lobbyradar/
2016-04-25		project	Tagesspiegel: 1928	https://1928.tagesspiegel.de
2016-04-12		project	Tagesspiegel: Hausnummern	https://hausnummern.tagesspiegel.de
2015-12-09		press	ZDF stellt überraschend Lobbyradar ein	http://www.zeit.de/wirtschaft/2015-12/lobbyismus-transparenz-zdf-lobbyradar-beendet
2015-11-06		press	Die Deutsche Bahn setzt endlich auf Open Data	https://netzpolitik.org/2015/die-deutsche-bahn-setzt-endlich-auf-open-data/
2015-11-06		project	DB Datenportal	http://data.deutschebahn.com
2015-11	now	work	Data Science and Stories (Der Tagesspiegel)	https://dsst.io
2015-10-19		press	Michael Kreil: An Honest Picture of Metadata	https://exposingtheinvisible.org/resources/showing-evidence/michael-kreil
2015-10-07		project	DB Netzradar	http://netzradar.deutschebahn.com
2015-10-07		press	DB Netzradar: Jeder kann mitmessen	https://inside.bahn.de/wlan_netzradar_bahn/
2015-10		award	LeadAward Silber "Webfeature des Jahres" für Lobbyradar	http://leadacademy.de/2015/diepreistraeger.html
2015-10		award	Prix Europa "Best Online Project of the Year 2015" für Lobbyradar	http://prixeuropa.eu/competition/awards-archive
2015-10		award	dpa-infografik award für Lobbyradar	http://www.presseportal.de/pm/8218/3148592
2015-10		award	dpa-infografik award für "Nebeneinkünfte"	http://www.presseportal.de/pm/8218/3148592
2015-09-30		project	ARTE Future: Internet-Überwachung: Wer liest mit?	http://future.arte.tv/de/vernetzte-burger-unter-uberwachung/internet-uberwachung-wer-liest-mit-0?language=de
2015-09-30		project	ARTE Future: Wie das Internet Europa verbindet	http://future.arte.tv/de/datenpakete-auf-reisen-europa/wie-das-internet-europa-verbindet?language=de
2015-05-05		press	Lobbyradar: ZDF will Verbindungen zwischen Lobbyisten und Politikern verdeutlichen	http://www.heise.de/newsticker/meldung/Lobbyradar-ZDF-will-Verbindungen-zwischen-Lobbyisten-und-Politikern-verdeutlichen-2632785.html
2015-05-05		project	ZDF-Lobbyradar	https://lobbyradar.org
2015-01-21		press	Datenblumen visualisieren Tracking	https://netzpolitik.org/2015/datenblumen-visualisieren-tracking/
2015-01-21		project	WIRED - Datenblumen	http://datenblumen.wired.de
2014-04-27		press	Es ist nur eine Frage der Zeit, bis der Bund auch Telefongespräche und SMS speichern will	http://www.watson.ch/!204848573
2014-04-26		press	Der gläserne Nationalrat	http://www.schweizamsonntag.ch/ressort/nachrichten/der_glaeserne_nationalrat//
2014-04-26		project	Vorratsdatenspeicherung in der Schweiz	https://apps.opendatacity.de/vds/
2013-12-28		project	GSM-Map	http://gsmmap.org
2013-09-11		press	Darf man die NSA mit der Stasi vergleichen?	https://www.bpb.de/dialog/netzdebatte/168062/darf-man-die-nsa-mit-der-stasi-vergleichen
2013-07-05		project	Stasi vs NSA	https://apps.opendatacity.de/stasi-vs-nsa/
2013-07-05		press	Wie viele Aktenschränke die NSA füllen würde	http://www.stern.de/digital/online/infografik-stasi-vs--nsa-wie-viele-aktenschraenke-die-nsa-fuellen-wuerde-3793650.html
2013-07-05		press	Aktenberge, groß wie Europa	http://www.sueddeutsche.de/politik/stasi-versus-nsa-akten-bis-oman-1.1713311
2013-05-24		press	re:log: Hintergrund zur Auswertung der W-LAN-Nutzung auf der re:publica 2013	http://datenjournalist.de/relog/
2013-05-24		project	re:log	https://apps.opendatacity.de/relog/
2013-04-30		press	Verkehrsverbund Berlin-Brandenburg gibt Fahrplan frei	http://www.golem.de/news/open-data-verkehrsverbund-berlin-brandenburg-gibt-fahrplan-frei-1304-99026.html
2013-02-21		press	SmartPlanet - In Germany, a 61-percent YouTube ‘blackout’	http://www.smartplanet.com/blog/global-observer/in-germany-a-61-percent-youtube-8216blackout/9734
2013-02-09		press	Deutschlandradio - Big Beautiful Data	http://breitband.dradio.de/brb130209/
2013-01-30		press	The Local - YouTube puts Germany into digital dark ages	http://www.thelocal.de/sci-tech/20130130-47633.html
2013-01-29		press	engadget - Youtube vs. Gema im Datavis: 61,5 % der beliebtesten Videos sind in Deutschland gesperrt	http://de.engadget.com/2013/01/29/youtube-vs-gema-im-datavis-61-5-der-beliebtesten-videos-sind/
2013-01-29		press	heise - Youtube: 60 Prozent der beliebtesten Videos in Deutschland gesperrt	http://www.heise.de/newsticker/meldung/Youtube-60-Prozent-der-beliebtesten-Videos-in-Deutschland-gesperrt-1793048.html
2013-01-29		press	Deutschlandradio - Youtubes harter Kampf	http://wissen.dradio.de/gema-youtubes-harter-kampf.33.de.html?dram:article_id=235726
2013-01-28		press	Süddeutsche - Diese Kultur ist in Deutschland leider nicht verfügbar	http://www.sueddeutsche.de/digital/streit-zwischen-youtube-und-gema-diese-kultur-ist-in-deutschland-leider-nicht-verfuegbar-1.1584813
2013-01-28		press	Spiegel - Gema-Streit: YouTube sperrt jedes zweite angesagte Video	http://www.spiegel.de/netzwelt/netzpolitik/gema-streit-youtube-sperrt-61-5-prozent-der-angesagtesten-videos-a-880005.html
2013-01-28		project	GEMA versus YouTubes Top 1000	http://apps.opendatacity.de/gema-vs-youtube/
2012-12-23		press	Medienradio - Open Verkehr	http://www.kuechenstud.io/medienradio/podcast/mr065-open-verkehr/
2012-11-29		press	DRadio Wissen - Die Afghanistan-Papiere	http://wissen.dradio.de/bundeswehr-die-afghanistan-papiere.33.de.html?dram:article_id=229268
2012-11-28		press	netzpolitik.org - Afghanistan Papiere: Über 5.000 Seiten geleakte Berichte der Bundeswehr veröffentlicht	https://netzpolitik.org/2012/afghanistan-papiere-uber-5-000-seiten-geleakte-berichte-der-bundeswehr-veroffentlicht/
2012-11-28		press	tagesschau.de - Bundeswehrdokumente veröffentlicht	http://www.tagesschau.de/ausland/afghanistanpapiere104.html
2012-11-28		press	Süddeutsche - Folgen eines verharmlosten Krieges	http://www.sueddeutsche.de/politik/dokumente-ueber-den-afghanistan-einsatz-veroeffentlicht-folgen-eines-verharmlosten-krieges-1.1535437
2012-11-28		press	focus - 5000 Geheimdokumente zeigen die Wahrheit über Afghanistan	http://www.focus.de/politik/deutschland/bundeswehreinsatz-am-hindukusch-5000-geheimdokumente-zeigen-die-wahrheit-ueber-afghanistan_aid_870282.html
2012-11-28		press	ZDF Elektrischer Reporter - Verkehrsinformationen	http://www.elektrischer-reporter.de/phase3/video/292/
2012-11-27		press	WAZ - Wie gefährlich der Bundeswehreinsatz in Afghanistan wirklich ist	http://www.derwesten.de/politik/wie-gefaehrlich-der-bundeswehreinsatz-in-afghanistan-wirklich-ist-id7334287.html
2012-11-27		project	WAZ - Die Afghanistan Papiere	http://afghanistan.derwesten-recherche.org
2012-11-15		link	Vortrag "openPlanB - innovation without permission"	http://open-strategies.de/sessions/openplanb-innovation-without-permission
2012-09-29		press	ZDF - Fahrpläne für jeden: Open Data vs. Deutsche Bahn	http://blog.zdf.de/hyperland/2012/09/fahrplaene-fuer-jeden-open-data-vs-deutsche-bahn/
2012-09-28		press	Gigaom: Open transport data in Germany? Not if you’re not Google	https://gigaom.com/2012/09/28/open-transport-data-in-germany-not-if-youre-not-google/
2012-09-28		press	golem - Deutsche Bahn sieht klaren Rechtsbruch - aber auch Chancen	http://www.golem.de/news/openplanb-deutsche-bahn-sieht-klaren-rechtsbruch-aber-auch-chancen-1209-94819.html
2012-09-28		press	heise - Deutsche Bahn wirft Open-Data-Projekt Rechtsbruch vor	http://www.heise.de/open/meldung/Deutsche-Bahn-wirft-Open-Data-Projekt-Rechtsbruch-vor-1719902.html
2012-09-28		press	Spiegel - Guerilla-Aktion: Deutsche Bahn wehrt sich gegen Fahrplan-Veröffentlichung	http://www.spiegel.de/netzwelt/netzpolitik/openplanb-deutsche-bahn-wehrt-sich-gegen-fahrplan-veroeffentlichung-a-858544.html
2012-09-28		press	netzpolitik - Deutsche Bahn beschwert sich über Open Data-Initiative: Interview mit einem Macher von OpenPlanB	https://netzpolitik.org/2012/deutsche-bahn-beschwert-sich-uber-open-data-initiative-interview-mit-einem-macher-von-openplanb/
2012-09-28		press	Deutsche Bahn - Offener Brief an das Projekt "openPlanB"	http://www.db-vertrieb.com/db_vertrieb/view/service/open_plan_b.shtml
2012-09-21		press	Logbuch: Netzpolitik	http://logbuch-netzpolitik.de/lnp038/
2012-09-17		press	Spiegel - Online-Karten: Googles lückenhafter Bahn-FahrplanSpiegel - Online Maps: Google's incomplete railway time tables	http://www.spiegel.de/netzwelt/web/google-kooperation-mit-deutscher-bahn-wirft-fragen-auf-a-856215.html
2012-09-07		press	Golem - openPlanB veröffentlicht bundesweite Fahrplandaten	http://www.golem.de/news/open-data-openplanb-veroeffentlicht-bundesweite-fahrplandaten-1209-94416.html
2012-09-06		press	heise - openPlanB: Offene Fahrplandaten	http://www.heise.de/open/meldung/openPlanB-Offene-Fahrplandaten-1702094.html
2012-09-05		press	netzpolitik - openPlanB: Open-Data-Aktivisten veröffentlichen Fahrplandaten des deutschen Fernverkehrs	https://netzpolitik.org/2012/openplanb-open-data-aktivisten-veroffentlichen-fahrplandaten-des-deutschen-fernverkehrs/
2012-09-04		link	Vortrag "OpenData im ÖPV"	https://vimeo.com/48837184
2012-08-12		press	fluxfm Netzwelt - OpenPlanB und 5Fav	http://www.fluxfm.de/programm/netzwelt-openplanb-und-5fav/
2012-07-08		project	openPlanB - innovation without permission	http://openplanb.tumblr.com
2012-06-26		project	TED - Computer Animation für den TED-Talk "Ihre Telefongesellschaft beobachtet Sie"	http://www.ted.com/talks/malte_spitz_your_phone_company_is_watching.html
2012-06		award	Nominierung Grimme Online Award "Zugmonitor"	http://www.grimme-institut.de/html/index.php?id=1569#c9688
2012-06		award	Nominierung Grimme Online Award "Parteispenden"	http://www.grimme-institut.de/html/index.php?id=1569#c9685
2012-04-22		project	taz - Parteispenden	http://taz.de/Parteispenden-Watch/!t200/#parteispenden-karte
2012-04-05		press	netzpolitik - Vorratsdatenspeicherung visualisiert: Was Verbindungsdaten alles verraten	https://netzpolitik.org/2012/vorratsdatenspeicherung-visualisiert-was-verbindungsdaten-alles-verraten/
2012-03-09		project	Süddeutsche - Zugmonitor	http://zugmonitor.sueddeutsche.de
2012-02-14		link	Vortrag "Big Brother Is Watching You: Was die Visualisierung von Vorratsdaten verrät"	http://www.domainpulse.ch/download/movies/ea/rz3kdrewrktw1tsa8zpqity5cs5u91/10bigbrotheriswatching.flv
2011-12-31		link	Vortrag "28c3 - Lightning Talk"	http://www.youtube.com/watch?v=LwFqsEh9Qug
2011-11-05		project	taz - Was Facebook über dich weiß	http://www.taz.de/!81259/
2011-10	2015-10	work	OpenDataCity	https://opendatacity.de
2011-07-16		press	engadget - Crowdflow tracks 880 iPhones across Europe, wants to put you on the map	http://www.engadget.com/2011/07/16/crowdflow-tracks-880-iphones-across-europe-wants-to-put-you-on/
2011-07-15		press	gigaom - How iPhones move across Europe	http://gigaom.com/2011/07/15/how-iphones-move-across-europe/
2011-07-14		press	netzpolitik.org - consolidated.db-Visualisierungen	https://netzpolitik.org/2011/consolidated-db-visualisierungen/
2011-06		award	Grimme Online Award "Spezial"	http://www.grimme-institut.de/html/index.php?id=1122#c8530
2011-06		award	LeadAward Gold "Webspecial des Jahres" für "Verräterisches Handy"	http://leadacademy.de/2011/preistraeger.html
2011-06		award	Online Journalism Awards - Outstanding Data Visualization für "Verräterisches Handy"	https://journalists.org/awards/2011-awards/
2011-05-21		press	Deutschlandradio - Schöne neue Datenwelt	http://breitband.dradio.de/schone-neue-datenwelt/
2011-05-16		press	Medienradio - Daten sehen	http://www.kuechenstud.io/medienradio/podcast/mr045-daten-sehen/
2011-05-06		press	Deutsche Welle - German data visualization specialists seeks iPhone tracking data	http://www.dw.de/german-data-visualization-specialists-seek-iphone-tracking-data/a-15062976
2011-05-05		press	Der Freitag - Wenn die Daten schon herumliegen	http://www.freitag.de/autoren/klaus-raab/wenn-die-daten-schon-herumliegen
2011-04-25		project	crowdflow.net	http://crowdflow.net
2011-04-12		press	Guest post: visualising mobile phone data – the data retention app	https://onlinejournalismblog.com/2011/04/12/guest-post-visualising-mobile-phone-data-the-data-retention-app/
2011-01-31		project	zeit.de - Verräterisches Handy	http://www.zeit.de/datenschutz/malte-spitz-data-retention/
2008-06		award	Interactive TV Award 2. Platz	https://www.heise.de/newsticker/meldung/Sieger-der-ersten-Runde-des-Interactive-TV-Award-der-Telekom-stehen-fest-204359.html
2006-08	2011-10	work	creamBOTS GmbH	
2004-04	2007-09	school	Universität Koblenz	
2001-12	2004-04	work	European Space Operation Centre	http://www.esa.int/About_Us/ESOC
2001-01	2001-07	work	Dresdner Asset Management	
2000-11	2004-04	work	univativ GmbH	
1999-10	2004-04	school	Technische Universität Darmstadt (Vordiplom Informatik)	
1999-10		award	Silbermedaille - Internationale Informatikolympiade	http://stats.ioinformatics.org/people/1545
1998-06-03		press	Die Berliner Zeitung - "Die Milka-Kuh im Wüstensand"	http://www.berliner-zeitung.de/archiv/jungforscher-entwickelten-verfahren-zur-digitalen-bildentwicklung-die-milka-kuh-im-wuestensand,10810590,9437702.html
1998-05		award	2. Platz - Bundeswettbewerb jugend forscht	http://www.jugend-forscht.de/projektdatenbank/aufnahmeverfahren-das-verlustfreies-trennen-von-objekten-vom-hintergrund-ermoeglicht.html
1992-08	1999-07	school	Heinrich-Hertz-Gymnasium (Abitur)	
1986-08	1990-07	school	Grundschule	